FinalID,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,Consumer,ConKingdom,ConTemp,ConMassValueSI,ConTempK,ConMassG
MTD2118,Mass-Specific Respiration Rate,7.750110000000001e-06,gram / (1 gram (body mass - dry) * 1 hour),Lithophyllum margaritae,Plantae,10.0,0.00015,283.15,0.15
MTD2118,Mass-Specific Respiration Rate,5.4174e-06,gram / (1 gram (body mass - dry) * 1 hour),Lithophyllum margaritae,Plantae,15.0,0.00015,288.15,0.15
MTD2118,Mass-Specific Respiration Rate,1.4450699999999999e-05,gram / (1 gram (body mass - dry) * 1 hour),Lithophyllum margaritae,Plantae,20.0,0.00015,293.15,0.15
MTD2118,Mass-Specific Respiration Rate,2.2831100000000002e-05,gram / (1 gram (body mass - dry) * 1 hour),Lithophyllum margaritae,Plantae,25.0,0.00015,298.15,0.15
MTD2118,Mass-Specific Respiration Rate,2.5719000000000002e-05,gram / (1 gram (body mass - dry) * 1 hour),Lithophyllum margaritae,Plantae,30.0,0.00015,303.15,0.15
MTD2143,Mass-Specific Respiration Rate,3.35987e-11,gram / (1 milligram (body mass - wet) * 1 second),Cherax quadricarinatus,Metazoa,16.0,2.8999999999999997e-05,289.15,0.028999999999999998
MTD2143,Mass-Specific Respiration Rate,3.67986e-11,gram / (1 milligram (body mass - wet) * 1 second),Cherax quadricarinatus,Metazoa,18.0,4.94e-05,291.15,0.0494
MTD2143,Mass-Specific Respiration Rate,5.11981e-11,gram / (1 milligram (body mass - wet) * 1 second),Cherax quadricarinatus,Metazoa,20.0,0.0001155,293.15,0.1155
MTD2143,Mass-Specific Respiration Rate,6.23977e-11,gram / (1 milligram (body mass - wet) * 1 second),Cherax quadricarinatus,Metazoa,22.0,0.00037519999999999996,295.15,0.3752
MTD2143,Mass-Specific Respiration Rate,6.71975e-11,gram / (1 milligram (body mass - wet) * 1 second),Cherax quadricarinatus,Metazoa,24.0,0.000579,297.15,0.579
MTD2143,Mass-Specific Respiration Rate,8.63968e-11,gram / (1 milligram (body mass - wet) * 1 second),Cherax quadricarinatus,Metazoa,26.0,0.0007263,299.15,0.7263000000000001
MTD2143,Mass-Specific Respiration Rate,1.0399600000000001e-10,gram / (1 milligram (body mass - wet) * 1 second),Cherax quadricarinatus,Metazoa,28.0,0.000923,301.15,0.923
MTD2143,Mass-Specific Respiration Rate,1.10396e-10,gram / (1 milligram (body mass - wet) * 1 second),Cherax quadricarinatus,Metazoa,30.0,0.0004961000000000001,303.15,0.4961000000000001
MTD2143,Mass-Specific Respiration Rate,1.1839600000000002e-10,gram / (1 milligram (body mass - wet) * 1 second),Cherax quadricarinatus,Metazoa,32.0,0.0002925,305.15,0.2925
MTD2114,Surface Area-Specific Mitochondrial Respiration Rate,5.642080000000001e-06,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,10.0,0.15,283.15,150.0
MTD2114,Surface Area-Specific Mitochondrial Respiration Rate,9.65139e-06,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,15.0,0.15,288.15,150.0
MTD2114,Surface Area-Specific Mitochondrial Respiration Rate,1.77668e-05,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,20.0,0.15,293.15,150.0
MTD2114,Surface Area-Specific Mitochondrial Respiration Rate,3.12779e-05,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,25.0,0.15,298.15,150.0
MTD2114,Surface Area-Specific Mitochondrial Respiration Rate,4.5656000000000005e-05,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,30.0,0.15,303.15,150.0
MTD2114,Surface Area-Specific Mitochondrial Respiration Rate,6.05754e-05,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,35.0,0.15,308.15,150.0
MTD2115,Surface Area-Specific Maximum Photosynthesis Rate,0.000362726,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,10.0,0.15,283.15,150.0
MTD2115,Surface Area-Specific Maximum Photosynthesis Rate,0.000450561,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,15.0,0.15,288.15,150.0
MTD2115,Surface Area-Specific Maximum Photosynthesis Rate,0.000496503,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,20.0,0.15,293.15,150.0
MTD2115,Surface Area-Specific Maximum Photosynthesis Rate,0.000532341,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,25.0,0.15,298.15,150.0
MTD2115,Surface Area-Specific Maximum Photosynthesis Rate,0.0005725130000000001,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,30.0,0.15,303.15,150.0
MTD2115,Surface Area-Specific Maximum Photosynthesis Rate,0.0005693440000000001,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,35.0,0.15,308.15,150.0
MTD2116,Surface Area-Specific Maximum Photosynthesis Rate,0.000336725,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,10.0,0.15,283.15,150.0
MTD2116,Surface Area-Specific Maximum Photosynthesis Rate,0.000415895,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,15.0,0.15,288.15,150.0
MTD2116,Surface Area-Specific Maximum Photosynthesis Rate,0.00046616699999999997,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,20.0,0.15,293.15,150.0
MTD2116,Surface Area-Specific Maximum Photosynthesis Rate,0.000512118,gram / (1 square centimeter * 1 second),Eucalyptus regnans,Plantae,25.0,0.15,298.15,150.0
